freq_hz,control_mean,control_sem,pd_mean,pd_sem
2.000000e+00,1.258218e-01,1.639297e-02,1.071654e-01,8.418553e-03
2.250000e+00,1.021673e-01,1.210792e-02,8.908948e-02,6.490401e-03
2.500000e+00,8.657765e-02,9.809413e-03,7.524287e-02,5.231606e-03
2.750000e+00,7.445815e-02,6.996122e-03,6.418790e-02,4.038934e-03
3.000000e+00,6.750121e-02,6.073611e-03,5.962576e-02,3.733325e-03
3.250000e+00,6.131947e-02,5.658777e-03,5.595895e-02,3.222414e-03
3.500000e+00,5.777525e-02,5.504875e-03,5.420693e-02,2.970301e-03
3.750000e+00,5.239943e-02,4.615954e-03,5.227734e-02,2.806725e-03
4.000000e+00,4.690089e-02,3.817617e-03,5.183893e-02,2.958114e-03
4.250000e+00,4.161821e-02,3.217605e-03,4.745293e-02,2.482845e-03
4.500000e+00,3.842530e-02,2.763438e-03,4.677055e-02,2.418847e-03
4.750000e+00,3.778529e-02,2.679852e-03,4.654181e-02,2.539507e-03
5.000000e+00,3.772265e-02,2.919902e-03,4.844275e-02,3.122004e-03
5.250000e+00,3.583387e-02,2.664797e-03,5.038403e-02,3.357069e-03
5.500000e+00,3.313725e-02,2.197684e-03,5.381224e-02,3.831199e-03
5.750000e+00,3.329019e-02,2.153563e-03,6.226039e-02,5.320785e-03
6.000000e+00,3.344172e-02,2.167603e-03,7.332253e-02,7.224175e-03
6.250000e+00,3.321581e-02,2.005384e-03,8.318525e-02,8.107183e-03
6.500000e+00,3.416990e-02,2.093385e-03,9.043477e-02,8.308689e-03
6.750000e+00,3.699290e-02,2.756180e-03,9.233245e-02,8.086398e-03
7.000000e+00,4.018917e-02,3.363756e-03,9.385162e-02,8.006871e-03
7.250000e+00,4.813899e-02,5.520572e-03,9.370064e-02,8.014582e-03
7.500000e+00,5.715466e-02,8.657052e-03,9.489556e-02,8.018166e-03
7.750000e+00,6.543899e-02,1.074657e-02,9.466497e-02,6.915164e-03
8.000000e+00,7.518329e-02,1.222340e-02,9.797752e-02,7.630194e-03
8.250000e+00,8.435973e-02,1.420907e-02,1.000908e-01,8.487914e-03
8.500000e+00,8.541695e-02,1.253675e-02,9.935527e-02,8.693280e-03
8.750000e+00,8.925497e-02,1.392159e-02,9.462116e-02,8.056446e-03
9.000000e+00,8.568844e-02,1.171677e-02,9.064309e-02,8.259928e-03
9.250000e+00,8.384221e-02,1.007421e-02,8.744659e-02,8.639927e-03
9.500000e+00,8.637253e-02,1.055395e-02,8.433650e-02,8.817131e-03
9.750000e+00,8.230858e-02,1.083530e-02,7.529375e-02,7.425071e-03
1.000000e+01,7.685952e-02,1.069089e-02,6.817563e-02,6.126906e-03
1.025000e+01,7.164406e-02,9.337366e-03,6.019173e-02,6.286622e-03
1.050000e+01,6.326887e-02,7.405136e-03,4.998674e-02,4.161784e-03
1.075000e+01,5.383994e-02,5.372981e-03,4.295853e-02,2.620941e-03
1.100000e+01,4.590985e-02,3.776132e-03,3.949796e-02,2.487822e-03
1.125000e+01,4.105993e-02,2.976778e-03,3.660600e-02,2.498521e-03
1.150000e+01,3.810245e-02,2.490572e-03,3.512887e-02,2.745097e-03
1.175000e+01,3.568877e-02,2.289800e-03,3.331575e-02,2.384097e-03
1.200000e+01,3.333003e-02,2.069239e-03,3.026796e-02,1.934628e-03
1.225000e+01,3.178837e-02,1.899497e-03,2.764508e-02,1.603926e-03
1.250000e+01,2.983888e-02,1.715011e-03,2.567370e-02,1.409761e-03
1.275000e+01,2.941344e-02,1.647072e-03,2.502998e-02,1.429096e-03
1.300000e+01,2.832653e-02,1.553207e-03,2.476917e-02,1.733781e-03
1.325000e+01,2.793317e-02,1.578770e-03,2.389423e-02,1.712764e-03
1.350000e+01,2.750609e-02,1.627535e-03,2.272697e-02,1.484452e-03
1.375000e+01,2.673348e-02,1.572294e-03,2.138228e-02,1.138950e-03
1.400000e+01,2.646544e-02,1.612585e-03,2.061730e-02,1.029112e-03
1.425000e+01,2.708940e-02,1.738658e-03,1.997631e-02,1.029258e-03
1.450000e+01,2.672391e-02,1.751869e-03,1.969505e-02,1.008567e-03
1.475000e+01,2.618602e-02,1.685261e-03,1.937150e-02,9.906503e-04
1.500000e+01,2.589569e-02,1.631008e-03,1.886268e-02,9.825131e-04
1.525000e+01,2.516935e-02,1.510302e-03,1.859361e-02,9.733186e-04
1.550000e+01,2.512494e-02,1.536666e-03,1.842270e-02,1.004092e-03
1.575000e+01,2.514709e-02,1.596515e-03,1.816301e-02,9.775250e-04
1.600000e+01,2.494689e-02,1.482025e-03,1.758684e-02,9.158681e-04
1.625000e+01,2.445988e-02,1.493710e-03,1.707420e-02,9.071106e-04
1.650000e+01,2.408498e-02,1.459120e-03,1.685850e-02,9.062143e-04
1.675000e+01,2.392761e-02,1.438829e-03,1.677304e-02,9.380678e-04
1.700000e+01,2.344354e-02,1.374915e-03,1.649062e-02,8.913319e-04
1.725000e+01,2.278420e-02,1.215212e-03,1.589797e-02,8.125563e-04
1.750000e+01,2.272061e-02,1.276686e-03,1.521399e-02,7.622104e-04
