t_ms,control,pd
0.00000,0.01333,0.46589
3.20000,0.01686,0.45450
6.40000,0.02112,0.41211
9.60000,0.02643,0.14958
12.80000,0.03361,0.04063
16.00000,0.04512,0.01106
19.20000,0.07588,0.00309
22.50000,0.41532,0.00099
25.70000,0.49402,0.00062
28.90000,0.49924,0.00079
32.10000,0.49887,0.00123
35.30000,0.49742,0.00190
38.50000,0.49515,0.00279
41.70000,0.49214,0.00394
45.00000,0.48837,0.00540
48.20000,0.48415,0.00711
51.40000,0.47934,0.00912
54.60000,0.47369,0.01145
57.80000,0.46636,0.01416
61.00000,0.45409,0.01732
64.30000,0.40012,0.02118
67.50000,0.13326,0.02577
70.70000,0.03621,0.03176
73.90000,0.00989,0.04063
77.10000,0.00284,0.05850
80.30000,0.00109,0.23081
83.50000,0.00091,0.48081
86.80000,0.00136,0.49864
90.00000,0.00217,0.49948
93.20000,0.00333,0.49886
96.40000,0.00484,0.49764
99.60000,0.00674,0.49583
102.80000,0.00903,0.49346
106.10000,0.01186,0.49048
109.30000,0.01512,0.48715
112.50000,0.01900,0.48340
115.70000,0.02375,0.47916
118.90000,0.02990,0.47424
122.10000,0.03882,0.46803
125.30000,0.05605,0.45855
128.60000,0.21222,0.43198
131.80000,0.47921,0.20568
135.00000,0.49837,0.05598
138.20000,0.49923,0.01522
141.40000,0.49821,0.00420
144.60000,0.49632,0.00130
147.90000,0.49355,0.00065
151.10000,0.49017,0.00072
154.30000,0.48621,0.00110
157.50000,0.48169,0.00171
160.70000,0.47649,0.00255
163.90000,0.47013,0.00363
167.10000,0.46098,0.00498
170.40000,0.43895,0.00666
173.60000,0.24514,0.00859
176.80000,0.06699,0.01085
180.00000,0.01822,0.01346
183.20000,0.00505,0.01649
186.40000,0.00160,0.02007
189.70000,0.00089,0.02454
192.90000,0.00110,0.03011
196.10000,0.00174,0.03802
199.30000,0.00274,0.05231
202.50000,0.00408,0.11839
205.70000,0.00579,0.46310
208.90000,0.00790,0.49734
212.20000,0.01051,0.49951
215.40000,0.01351,0.49907
218.60000,0.01708,0.49800
221.80000,0.02138,0.49633
225.00000,0.02677,0.49409
228.20000,0.03409,0.49133
231.50000,0.04655,0.48801
234.70000,0.08236,0.48436
237.90000,0.42700,0.48026
241.10000,0.49483,0.47554
244.30000,0.49927,0.46974
247.50000,0.49881,0.46143
250.70000,0.49732,0.44365
254.00000,0.49492,0.28056
257.20000,0.49185,0.07712
260.40000,0.48815,0.02095
263.60000,0.48390,0.00575
266.80000,0.47905,0.00169
